,rmse_test_loss,sum_test_loss
v4-stnn_09-16-14-52-05_7205,33.99990057176159,439.259548447954
ori-stnn_09-16-17-45-42_1855,399.0436076502646,4680.305398768975
ori-stnn_05-12-16-06-12_0454,555.7642679522114,6115.89267880205
v1-stnn_05-12-16-06-13_8446,561.4467100110506,8792.905111467151
classical-stnn_09-17-01-45-09_9062,958.4110402753277,2588.798205536596
v3-stnn_05-12-16-58-50_8071,997.21630859375,7801.9394749543735
v1-stnn_05-11-00-03-30_1801,1182.572515180034,4694.737985759647
ori-stnn_05-11-00-03-30_9789,1422.2479508922945,4154.510014728121
v3-stnn_05-11-00-08-18_8059,1914.0382006245275,2969.6534406061837
keras-rnn_05-12-15-30-37_4449,100000000.0,524.0095150949072
keras-rnn_05-12-15-30-37_0911,100000000.0,12299.446486724004
